EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 14-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : cloud cover in oktas
23-27 Q_CC : Quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121039)
See file sources.txt for more info.



 SOUID,    DATE,   CC, Q_CC
121039,19590322,    8,    0
121039,19590323,    3,    0
121039,19590324,    4,    0
121039,19590325,    8,    0
121039,19590326,    3,    0
121039,19590327,    4,    0
121039,19590328,    5,    0
121039,19590329,    7,    0
121039,19590330,    6,    0
121039,19590331,    2,    0
121039,19590401,    6,    0
121039,19590402,    5,    0
121039,19590403,    4,    0
121039,19590404,    1,    0
121039,19590405,    5,    0
121039,19590406,    8,    0
121039,19590407,    6,    0
121039,19590408,    7,    0
121039,19590409,    5,    0
121039,19590410,    7,    0
121039,19590411,    7,    0
121039,19590412,    8,    0
121039,19590413,    2,    0
121039,19590414,    4,    0
121039,19590415,    5,    0
121039,19590416,    8,    0
121039,19590417,    6,    0
121039,19590418,    8,    0
121039,19590419,    8,    0
121039,19590420,    3,    0
121039,19590421,    5,    0
121039,19590422,    7,    0
121039,19590423,    4,    0
121039,19590424,    3,    0
121039,19590425,    4,    0
121039,19590426,    6,    0
121039,19590427,    6,    0
121039,19590428,    8,    0
121039,19590429,    8,    0
121039,19590430,    7,    0
121039,19590501,    8,    0
121039,19590502,    4,    0
121039,19590503,    4,    0
121039,19590504,    5,    0
121039,19590505,    5,    0
121039,19590506,    3,    0
121039,19590507,    3,    0
121039,19590508,    7,    0
121039,19590509,    1,    0
121039,19590510,    3,    0
121039,19590511,    2,    0
121039,19590512,    3,    0
121039,19590513,    2,    0
121039,19590514,    4,    0
121039,19590515,    6,    0
121039,19590516,    3,    0
121039,19590517,    6,    0
121039,19590518,    7,    0
121039,19590519,    5,    0
121039,19590520,    4,    0
121039,19590521,    4,    0
121039,19590522,    4,    0
121039,19590523,    1,    0
121039,19590524,    0,    0
121039,19590525,    2,    0
121039,19590526,    6,    0
121039,19590527,    8,    0
121039,19590528,    7,    0
121039,19590529,    4,    0
121039,19590530,    8,    0
121039,19590531,    6,    0
121039,19590601,    6,    0
121039,19590602,    5,    0
121039,19590603,    1,    0
121039,19590604,    1,    0
121039,19590605,    3,    0
121039,19590606,    6,    0
121039,19590607,    7,    0
121039,19590608,    6,    0
121039,19590609,    4,    0
121039,19590610,    5,    0
121039,19590611,    4,    0
121039,19590612,    5,    0
121039,19590613,    2,    0
121039,19590614,    5,    0
121039,19590615,    2,    0
121039,19590616,    4,    0
121039,19590617,    0,    0
121039,19590618,    1,    0
121039,19590619,    1,    0
121039,19590620,    2,    0
121039,19590621,    5,    0
121039,19590622,    7,    0
121039,19590623,    7,    0
121039,19590624,    2,    0
121039,19590625,    2,    0
121039,19590626,    6,    0
121039,19590627,    6,    0
121039,19590628,    6,    0
121039,19590629,    7,    0
121039,19590630,    8,    0
121039,19590701,    8,    0
121039,19590702,    8,    0
121039,19590703,    8,    0
121039,19590704,    3,    0
121039,19590705,    1,    0
121039,19590706,    4,    0
121039,19590707,    0,    0
121039,19590708,    2,    0
121039,19590709,    3,    0
121039,19590710,    2,    0
121039,19590711,    4,    0
121039,19590712,    5,    0
121039,19590713,    3,    0
121039,19590714,    5,    0
121039,19590715,    4,    0
121039,19590716,    4,    0
121039,19590717,    3,    0
121039,19590718,    0,    0
121039,19590719,    3,    0
121039,19590720,    1,    0
121039,19590721,    4,    0
121039,19590722,    1,    0
121039,19590723,    0,    0
121039,19590724,    5,    0
121039,19590725,    1,    0
121039,19590726,    3,    0
121039,19590727,    5,    0
121039,19590728,    3,    0
121039,19590729,    5,    0
121039,19590730,    8,    0
121039,19590731,    7,    0
121039,19590801,    8,    0
121039,19590802,    8,    0
121039,19590803,    8,    0
121039,19590804,    4,    0
121039,19590805,    8,    0
121039,19590806,    5,    0
121039,19590807,    1,    0
121039,19590808,    5,    0
121039,19590809,    5,    0
121039,19590810,    5,    0
121039,19590811,    5,    0
121039,19590812,    3,    0
121039,19590813,    2,    0
121039,19590814,    7,    0
121039,19590815,    8,    0
121039,19590816,    5,    0
121039,19590817,    5,    0
121039,19590818,    3,    0
121039,19590819,    1,    0
121039,19590820,    0,    0
121039,19590821,    5,    0
121039,19590822,    7,    0
121039,19590823,    0,    0
121039,19590824,    5,    0
121039,19590825,    6,    0
121039,19590826,    5,    0
121039,19590827,    1,    0
121039,19590828,    5,    0
121039,19590829,    3,    0
121039,19590830,    5,    0
121039,19590831,    1,    0
121039,19590901,    2,    0
121039,19590902,    1,    0
121039,19590903,    1,    0
121039,19590904,    2,    0
121039,19590905,    1,    0
121039,19590906,    2,    0
121039,19590907,    1,    0
121039,19590908,    2,    0
121039,19590909,    0,    0
121039,19590910,    0,    0
121039,19590911,    0,    0
121039,19590912,    0,    0
121039,19590913,    0,    0
121039,19590914,    3,    0
121039,19590915,    2,    0
121039,19590916,    4,    0
121039,19590917,    2,    0
121039,19590918,    0,    0
121039,19590919,    1,    0
121039,19590920,    1,    0
121039,19590921,    3,    0
121039,19590922,    8,    0
121039,19590923,    7,    0
121039,19590924,    3,    0
121039,19590925,    4,    0
121039,19590926,    7,    0
121039,19590927,    4,    0
121039,19590928,    1,    0
121039,19590929,    1,    0
121039,19590930,    0,    0
121039,19591001,    0,    0
121039,19591002,    0,    0
121039,19591003,    1,    0
121039,19591004,    1,    0
121039,19591005,    0,    0
121039,19591006,    0,    0
121039,19591007,    0,    0
121039,19591008,    0,    0
121039,19591009,    0,    0
121039,19591010,    1,    0
121039,19591011,    7,    0
121039,19591012,    7,    0
121039,19591013,    1,    0
121039,19591014,    1,    0
121039,19591015,    0,    0
121039,19591016,    0,    0
121039,19591017,    4,    0
121039,19591018,    5,    0
121039,19591019,    7,    0
121039,19591020,    5,    0
121039,19591021,    8,    0
121039,19591022,    7,    0
121039,19591023,    5,    0
121039,19591024,    6,    0
121039,19591025,    3,    0
121039,19591026,    5,    0
121039,19591027,    8,    0
121039,19591028,    7,    0
121039,19591029,    6,    0
121039,19591030,    7,    0
121039,19591031,    8,    0
121039,19591101,    8,    0
121039,19591102,    5,    0
121039,19591103,    5,    0
121039,19591104,    7,    0
121039,19591105,    8,    0
121039,19591106,    6,    0
121039,19591107,    8,    0
121039,19591108,    5,    0
121039,19591109,    8,    0
121039,19591110,    8,    0
121039,19591111,    8,    0
121039,19591112,    8,    0
121039,19591113,    4,    0
121039,19591114,    7,    0
121039,19591115,    6,    0
121039,19591116,    5,    0
121039,19591117,    4,    0
121039,19591118,    5,    0
121039,19591119,    6,    0
121039,19591120,    2,    0
121039,19591121,    3,    0
121039,19591122,    2,    0
121039,19591123,    5,    0
121039,19591124,    5,    0
121039,19591125,    8,    0
121039,19591126,    5,    0
121039,19591127,    8,    0
121039,19591128,    7,    0
121039,19591129,    3,    0
121039,19591130,    6,    0
121039,19591201,    7,    0
121039,19591202,    8,    0
121039,19591203,    8,    0
121039,19591204,    4,    0
121039,19591205,    5,    0
121039,19591206,    1,    0
121039,19591207,    7,    0
121039,19591208,    8,    0
121039,19591209,    5,    0
121039,19591210,    6,    0
121039,19591211,    8,    0
121039,19591212,    8,    0
121039,19591213,    8,    0
121039,19591214,    6,    0
121039,19591215,    4,    0
121039,19591216,    5,    0
121039,19591217,    8,    0
121039,19591218,    7,    0
121039,19591219,    7,    0
121039,19591220,    7,    0
121039,19591221,    8,    0
121039,19591222,    6,    0
121039,19591223,    6,    0
121039,19591224,    6,    0
121039,19591225,    8,    0
121039,19591226,    7,    0
121039,19591227,    4,    0
121039,19591228,    7,    0
121039,19591229,    7,    0
121039,19591230,    5,    0
121039,19591231,    6,    0
121039,19600101,    7,    0
121039,19600102,    7,    0
121039,19600103,    8,    0
121039,19600104,    7,    0
121039,19600105,    8,    0
121039,19600106,    7,    0
121039,19600107,    8,    0
121039,19600108,    5,    0
121039,19600109,    4,    0
121039,19600110,    3,    0
121039,19600111,    8,    0
121039,19600112,    4,    0
121039,19600113,    5,    0
121039,19600114,    8,    0
121039,19600115,    0,    0
121039,19600116,    8,    0
121039,19600117,    6,    0
121039,19600118,    8,    0
