EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : sea level pressure in 0.1 hPa
23-27 Q_PP : Quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121041)
See file sources.txt for more info.



 SOUID,    DATE,   PP, Q_PP
121041,19580423,10184,    0
121041,19580424,10182,    0
121041,19580425,10155,    0
121041,19580426,10114,    0
121041,19580427,10090,    0
121041,19580428,10162,    0
121041,19580429,10246,    0
121041,19580430,10311,    0
121041,19580501,10319,    0
121041,19580502,10259,    0
121041,19580503,10216,    0
121041,19580504,10231,    0
121041,19580505,10162,    0
121041,19580506,10139,    0
121041,19580507,10184,    0
121041,19580508,10164,    0
121041,19580509,10169,    0
121041,19580510,10141,    0
121041,19580511,10124,    0
121041,19580512,10148,    0
121041,19580513,10190,    0
121041,19580514,10116,    0
121041,19580515,10071,    0
121041,19580516, 9972,    0
121041,19580517,10183,    0
121041,19580518,10202,    0
121041,19580519,10223,    0
121041,19580520,10137,    0
121041,19580521,10166,    0
121041,19580522,10198,    0
121041,19580523,10122,    0
121041,19580524,10112,    0
121041,19580525,10136,    0
121041,19580526,10137,    0
121041,19580527,10191,    0
121041,19580528,10189,    0
121041,19580529,10198,    0
121041,19580530,10141,    0
121041,19580531,10176,    0
121041,19580601,10163,    0
121041,19580602,10147,    0
121041,19580603,10181,    0
121041,19580604,10198,    0
121041,19580605,10193,    0
121041,19580606,10167,    0
121041,19580607,10165,    0
121041,19580608,10195,    0
121041,19580609,10165,    0
121041,19580610,10139,    0
121041,19580611,10181,    0
121041,19580612,10229,    0
121041,19580613,10252,    0
121041,19580614,10264,    0
121041,19580615,10249,    0
121041,19580616,10196,    0
121041,19580617,10144,    0
121041,19580618,10204,    0
121041,19580619,10186,    0
121041,19580620,10046,    0
121041,19580621,10024,    0
121041,19580622,10047,    0
121041,19580623,10074,    0
121041,19580624,10102,    0
121041,19580625,10142,    0
121041,19580626,10018,    0
121041,19580627, 9985,    0
121041,19580628,10113,    0
121041,19580629,10130,    0
121041,19580630,10103,    0
121041,19580701,10070,    0
121041,19580702,10066,    0
121041,19580703,10091,    0
121041,19580704,10114,    0
121041,19580705,10146,    0
121041,19580706,10178,    0
121041,19580707,10238,    0
121041,19580708,10276,    0
121041,19580709,10233,    0
121041,19580710,10170,    0
121041,19580711,10132,    0
121041,19580712,10117,    0
121041,19580713,10113,    0
121041,19580714,10187,    0
121041,19580715,10162,    0
121041,19580716,10115,    0
121041,19580717,10230,    0
121041,19580718,10249,    0
121041,19580719,10194,    0
121041,19580720,10115,    0
121041,19580721,10087,    0
121041,19580722,10005,    0
121041,19580723,10053,    0
121041,19580724,10125,    0
121041,19580725,10216,    0
121041,19580726,10159,    0
121041,19580727,10160,    0
121041,19580728,10093,    0
121041,19580729,10126,    0
121041,19580730,10185,    0
121041,19580731,10226,    0
121041,19580801,10170,    0
121041,19580802,10203,    0
121041,19580803,10254,    0
121041,19580804,10250,    0
121041,19580805,10196,    0
121041,19580806,10126,    0
121041,19580807,10116,    0
121041,19580808,10132,    0
121041,19580809,10166,    0
121041,19580810,10181,    0
121041,19580811,10139,    0
121041,19580812,10121,    0
121041,19580813,10151,    0
121041,19580814,10132,    0
121041,19580815,10153,    0
121041,19580816,10139,    0
121041,19580817,10167,    0
121041,19580818,10100,    0
121041,19580819,10056,    0
121041,19580820,10041,    0
121041,19580821,10036,    0
121041,19580822,10005,    0
121041,19580823,10089,    0
121041,19580824,10148,    0
121041,19580825,10094,    0
121041,19580826,10166,    0
121041,19580827,10178,    0
121041,19580828,10130,    0
