EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FX   : wind gust in 0.1 m/s
23-27 Q_FX : Quality code for FX (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121049)
See file sources.txt for more info.



 SOUID,    DATE,   FX, Q_FX
121049,19580611,  111,    0
121049,19580612,  102,    0
121049,19580613,   98,    0
121049,19580614,   69,    0
121049,19580615,  108,    0
121049,19580616,  110,    0
121049,19580617,  169,    0
121049,19580618,  107,    0
121049,19580619,   81,    0
121049,19580620,  132,    0
121049,19580621,  140,    0
121049,19580622,  180,    0
121049,19580623,  149,    0
121049,19580624,  102,    0
121049,19580625,   81,    0
121049,19580626,  120,    0
121049,19580627,  135,    0
121049,19580628,   80,    0
121049,19580629,   61,    0
121049,19580630,   40,    0
121049,19580701,  130,    0
121049,19580702,   40,    0
121049,19580703,  110,    0
121049,19580704,   63,    0
121049,19580705,   88,    0
121049,19580706,   85,    0
121049,19580707,  100,    0
121049,19580708,   90,    0
121049,19580709,   60,    0
121049,19580710,   85,    0
121049,19580711,  167,    0
121049,19580712,   83,    0
121049,19580713,  164,    0
121049,19580714,  115,    0
121049,19580715,   88,    0
121049,19580716,  124,    0
121049,19580717,  160,    0
121049,19580718,   74,    0
121049,19580719,  119,    0
121049,19580720,  169,    0
121049,19580721,  152,    0
121049,19580722,  170,    0
121049,19580723,  173,    0
121049,19580724,  158,    0
121049,19580725,   59,    0
121049,19580726,   93,    0
121049,19580727,  102,    0
121049,19580728,  128,    0
121049,19580729,  169,    0
121049,19580730,   96,    0
121049,19580731,   70,    0
121049,19580801,  170,    0
121049,19580802,  138,    0
121049,19580803,  157,    0
121049,19580804,  101,    0
121049,19580805,   90,    0
121049,19580806,  107,    0
121049,19580807,  105,    0
121049,19580808,  109,    0
121049,19580809,  104,    0
121049,19580810,   78,    0
121049,19580811,  110,    0
121049,19580812,  128,    0
121049,19580813,  114,    0
121049,19580814,   99,    0
121049,19580815,   89,    0
121049,19580816,  109,    0
121049,19580817,   48,    0
121049,19580818,  118,    0
121049,19580819,  103,    0
121049,19580820,  150,    0
121049,19580821,  104,    0
121049,19580822,   78,    0
121049,19580823,  169,    0
121049,19580824,  102,    0
121049,19580825,  155,    0
121049,19580826,   95,    0
121049,19580827,  128,    0
121049,19580828,  129,    0
121049,19580829,   92,    0
121049,19580830,   70,    0
121049,19580831,  142,    0
121049,19580901,  118,    0
121049,19580902,  110,    0
121049,19580903,  120,    0
121049,19580904,  117,    0
121049,19580905,  108,    0
121049,19580906,   83,    0
121049,19580907,  120,    0
121049,19580908,  122,    0
121049,19580909,  122,    0
121049,19580910,  123,    0
121049,19580911,   94,    0
121049,19580912,   64,    0
121049,19580913,  101,    0
121049,19580914,   85,    0
121049,19580915,  170,    0
121049,19580916,  110,    0
121049,19580917,   70,    0
121049,19580918,   51,    0
121049,19580919,   85,    0
121049,19580920,  111,    0
121049,19580921,  109,    0
121049,19580922,  144,    0
121049,19580923,  126,    0
121049,19580924,  158,    0
121049,19580925,  180,    0
121049,19580926,  160,    0
