SOUID,DATE,HU,Q_HU
121047,30/07/1958,6.9,0
121047,31/07/1958,6.3,0
121047,01/08/1958,7.6,0
121047,02/08/1958,7,0
121047,03/08/1958,7.6,0
121047,04/08/1958,7.1,0
121047,05/08/1958,7.5,0
121047,06/08/1958,8.4,0
121047,07/08/1958,7.2,0
121047,08/08/1958,7.5,0
121047,09/08/1958,8.4,0
121047,10/08/1958,7.5,0
121047,11/08/1958,8.3,0
121047,12/08/1958,9,0
121047,13/08/1958,8.2,0
121047,14/08/1958,9.4,0
121047,15/08/1958,8.4,0
121047,16/08/1958,8,0
121047,17/08/1958,7.4,0
121047,18/08/1958,7.2,0
121047,19/08/1958,8.6,0
121047,20/08/1958,7.7,0
121047,21/08/1958,7.8,0
121047,22/08/1958,7.8,0
121047,23/08/1958,8,0
121047,24/08/1958,7.1,0
121047,25/08/1958,8,0
121047,26/08/1958,8,0
121047,27/08/1958,7.3,0
121047,28/08/1958,6.7,0
121047,29/08/1958,6.5,0
121047,30/08/1958,8,0
121047,31/08/1958,7.2,0
121047,01/09/1958,6.5,0
121047,02/09/1958,6.5,0
121047,03/09/1958,6.2,0
121047,04/09/1958,6.3,0
121047,05/09/1958,6.4,0
121047,06/09/1958,6.3,0
121047,07/09/1958,7.1,0
121047,08/09/1958,7.1,0
121047,09/09/1958,7.6,0
121047,10/09/1958,8.1,0
121047,11/09/1958,8,0
121047,12/09/1958,8.2,0
121047,13/09/1958,7.1,0
121047,14/09/1958,6.8,0
121047,15/09/1958,8.4,0
121047,16/09/1958,8.4,0
121047,17/09/1958,8.5,0
121047,18/09/1958,8.7,0
121047,19/09/1958,8,0
121047,20/09/1958,8,0
121047,21/09/1958,8.6,0
121047,22/09/1958,7.2,0
121047,23/09/1958,7.7,0
121047,24/09/1958,8,0
121047,25/09/1958,7.4,0
121047,26/09/1958,8.7,0
121047,27/09/1958,8.1,0
121047,28/09/1958,7.9,0
121047,29/09/1958,7.3,0
121047,30/09/1958,8.2,0
121047,01/10/1958,9,0
121047,02/10/1958,8.5,0
121047,03/10/1958,7.6,0
121047,04/10/1958,7.6,0
121047,05/10/1958,7.3,0
121047,06/10/1958,8.8,0
121047,07/10/1958,7.7,0
121047,08/10/1958,6.9,0
121047,09/10/1958,8.4,0
121047,10/10/1958,8.7,0
121047,11/10/1958,9.4,0
121047,12/10/1958,9,0
121047,13/10/1958,8.4,0
121047,14/10/1958,8.1,0
121047,15/10/1958,7,0
121047,16/10/1958,8.6,0
121047,17/10/1958,8.4,0
121047,18/10/1958,9.4,0
121047,19/10/1958,8.3,0
121047,20/10/1958,8.2,0
121047,21/10/1958,8.6,0
121047,22/10/1958,9.4,0
121047,23/10/1958,9.4,0
121047,24/10/1958,9.6,0
121047,25/10/1958,9.1,0
121047,26/10/1958,8.8,0
121047,27/10/1958,8.7,0
121047,28/10/1958,9.5,0
121047,29/10/1958,8.3,0
121047,30/10/1958,8.5,0
121047,31/10/1958,9.2,0
121047,01/11/1958,8.5,0
121047,02/11/1958,8.5,0
121047,03/11/1958,9.8,0
121047,04/11/1958,9.1,0
121047,05/11/1958,8.9,0
121047,06/11/1958,8.4,0
121047,07/11/1958,8.4,0
121047,08/11/1958,9.6,0
121047,09/11/1958,8.8,0
121047,10/11/1958,9.4,0
121047,11/11/1958,9.1,0
